Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
RBL Bank Platinum LifeEasy Credit Card,RBL Bank,Mastercard Platinum,Visa Platinum,,
Union Bank of India Visa Platinum Credit Card,Union Bank of India,Visa Platinum,,,
MakeMyTrip ICICI Bank Signature Credit Card,ICICI Bank,Visa Signature,Rupay Platinum,,
Samsung Axis Bank Infinite Credit Card,Axis Bank,Visa Infinite,,,
RBL Bank Platinum Edge Credit Card,RBL Bank,Mastercard Platinum,Visa Platinum,,
Indian Overseas Bank Classic Credit Card,Indian Overseas Bank,Visa Classic,Rupay Classic,,
Axis Bank Miles And More World Credit Card,Axis Bank,Mastercard World,,,
Bajaj Finance Platinum Plus SuperCard,Bajaj Finance,Mastercard Platinum,,,
Canara Bank Rupay Classic Credit Card,Canara Bank,Rupay Classic,,,
Shoppers Stop HDFC Bank Credit Card,HDFC Bank,"Visa Platinum
",Rupay Platinum,,
DBS Spark5 Credit Card   ,DBS Bank,"Visa Platinum
",,,
Tata Star Titanium Card,State Bank of India,Mastercard Titanium,,,
Indusind Bank Nexxt Credit Card,Indusind Bank,Visa Platinum,,,
Bajaj Finserv DBS Bank 7X Plus Rewards Supercard,DBS Bank,Visa Platinum,,,
Indianoil Citi Credit Card,Citi Bank,Mastercard Platinum,,,
Axis Bank Horizon Credit Card,Axis Bank,Visa Signature,Mastercard World,,
SBM Rupicard Credit Card,SBM Bank,Rupay Select,Visa Platinum,,
Axis Bank Neo Credit Card ,Axis Bank,Mastercard Classic,Rupay Platinum,,
RBL Bank Platinum TravelEasy Credit Card ,RBL Bank,Visa Platinum,Mastercard Platinum,,
Miles Elite SBI Card,State Bank of India,Mastercard World,Rupay Platinum,,
Paytm HDFC Bank Credit Card,Paytm,Visa Platinum,,,
RBL Bank Mocash Credit Card,RBL Bank,Mastercard Standard,,,
Federal Bank Visa Imperio,Federal Bank,Visa Platinum,,,
Indian Overseas Bank Credit Card Gold,Indian Overseas Bank,Visa Gold,,,
Indian Coast Guard Rakshamah Bank of Baroda,Bank of Baroda,Rupay Platinum,,,
FabIndia SBI Card,State Bank of India,Visa Platinum,,,
Tata Neu Plus HDFC Bank Credit Card,HDFC Bank,Rupay Platinum,Visa Platinum,,
Canara Bank Rupay Select Secured Credit Card,Canara Bank,Rupay Select,,,
RBL Bank Paisabazaar Duet Card,RBL Bank,Visa Classic,Mastercard Standard,,
Bank of India Visa Platinum International Credit Card,Bank of India,Visa Platinum,,,
HDFC Bank Infinia Credit Card Metal Edition,HDFC Bank,Visa Infinite,Mastercard World,,
DBS Spark20 Credit Card ,DBS Bank,Visa Signature,,,
HDFC Bharat Credit Card,HDFC Bank,Visa Classic,RuPay Classic,,
Bank of Barods Select Credit Card,Bank of Baroda,Rupay Platinum,Visa Platinum,Mastercard Platinum,
HDFC Bank Easy EMI Card,HDFC Bank,Visa Classic,Mastercard Standard,,
PVR Inox Kotak Credit Card ,Kotak Mahindra Bank,Visa Platinum,Rupay Select,,
Axis Bank Privilege Easy Credit Card,Axis Bank,Visa Platinum,American Express Platinum,,
Axis Bank Vistara Infinite Credit Card,Axis Bank,Visa Infinite,,,
Bajaj Finance Platinum Edge Super Card,Bajaj Finance,Mastercard Platinum,,,
HDFC Bank UPI RuPay Credit Card ,HDFC Bank,Rupay Classic,,,
J&K Bank Gold Credit Card,J&K Bank,Visa Gold,Mastercard Standard,,
YES Bank Rio Rupay Credit Card,YES Bank,Rupay Classic,,,
Indusind Indus Solitaire Credit Card,IndusInd Bank,Mastercard World,Visa Infinite,,
SBM Paisabazaar Step-Up Credit Card,SBM Bank,Visa Classic,Mastercard Standard,RuPay Standard,
Indusind InterMiles Odyssey Amex Credit Card,IndusInd Bank,American Express Platinum,,,
Aditya Birla SBI Card Select,State Bank of India,Visa Platinum,,,
HDFC Pixel Play Credit Card,HDFC Bank,Visa Classic,Rupay Classic,,
RBL Bank DMI Finance Credit Card,RBL Bank,Visa Classic,Mastercard Standard,,
SBI Card Unnati,State Bank of India,Visa Platinum,,,
Yes Prosperity Edge Credit Card,Yes Bank,Visa Platinum,Mastercard Platinum,,
